algoritmo,instancia,R,Z,LB,GAP
FirstImprovement,ft06.txt,,314,259.0,0.21235521235521235
MixedImprovement,ft06.txt,0.1,320,259.0,0.23552123552123552
MixedImprovement,ft06.txt,0.2,344,259.0,0.3281853281853282
MixedImprovement,ft06.txt,0.4,319,259.0,0.23166023166023167
MixedImprovement,ft06.txt,0.6,308,259.0,0.1891891891891892
MixedImprovement,ft06.txt,0.8,314,259.0,0.21235521235521235
FirstImprovement,ft06r.txt,,337,283.0,0.19081272084805653
MixedImprovement,ft06r.txt,0.1,388,283.0,0.3710247349823322
MixedImprovement,ft06r.txt,0.2,337,283.0,0.19081272084805653
MixedImprovement,ft06r.txt,0.4,337,283.0,0.19081272084805653
MixedImprovement,ft06r.txt,0.6,337,283.0,0.19081272084805653
MixedImprovement,ft06r.txt,0.8,337,283.0,0.19081272084805653
FirstImprovement,ft10.txt,,9808,7377.0,0.3295377524739054
MixedImprovement,ft10.txt,0.1,10670,7377.0,0.44638742036058016
MixedImprovement,ft10.txt,0.2,10431,7377.0,0.4139894265961773
MixedImprovement,ft10.txt,0.4,10431,7377.0,0.4139894265961773
MixedImprovement,ft10.txt,0.6,10374,7377.0,0.4062627084180561
MixedImprovement,ft10.txt,0.8,10374,7377.0,0.4062627084180561
FirstImprovement,ft10r.txt,,10077,6318.0,0.5949667616334283
MixedImprovement,ft10r.txt,0.1,10378,6318.0,0.6426084203861981
MixedImprovement,ft10r.txt,0.2,10767,6318.0,0.7041785375118709
MixedImprovement,ft10r.txt,0.4,11582,6318.0,0.8331750553972777
MixedImprovement,ft10r.txt,0.6,10785,6318.0,0.7070275403608737
MixedImprovement,ft10r.txt,0.8,10280,6318.0,0.6270971826527382
FirstImprovement,ft20.txt,,17291,14139.0,0.22292948581936486
MixedImprovement,ft20.txt,0.1,17663,14139.0,0.24923969163307164
MixedImprovement,ft20.txt,0.2,17670,14139.0,0.2497347761510715
MixedImprovement,ft20.txt,0.4,17800,14139.0,0.258929202913926
MixedImprovement,ft20.txt,0.6,17616,14139.0,0.24591555272650117
MixedImprovement,ft20.txt,0.8,17643,14139.0,0.24782516443878633
FirstImprovement,ft20r.txt,,18991,13257.0,0.4325262125669458
MixedImprovement,ft20r.txt,0.1,18658,13257.0,0.4074074074074074
MixedImprovement,ft20r.txt,0.2,18385,13257.0,0.38681451308742554
MixedImprovement,ft20r.txt,0.4,18889,13257.0,0.42483216413969976
MixedImprovement,ft20r.txt,0.6,17905,13257.0,0.3506072263709738
MixedImprovement,ft20r.txt,0.8,18576,13257.0,0.40122199592668023
FirstImprovement,tai_j10_m10_1.txt,,97668,64463.0,0.5151016862386175
MixedImprovement,tai_j10_m10_1.txt,0.1,104679,64463.0,0.6238617501512496
MixedImprovement,tai_j10_m10_1.txt,0.2,109171,64463.0,0.6935451344181934
MixedImprovement,tai_j10_m10_1.txt,0.4,104173,64463.0,0.6160122861176178
MixedImprovement,tai_j10_m10_1.txt,0.6,104006,64463.0,0.613421652731024
MixedImprovement,tai_j10_m10_1.txt,0.8,102022,64463.0,0.5826443075872981
FirstImprovement,tai_j10_m10_1r.txt,,96328,61293.0,0.5715987143719511
MixedImprovement,tai_j10_m10_1r.txt,0.1,111694,61293.0,0.8222961839035453
MixedImprovement,tai_j10_m10_1r.txt,0.2,111694,61293.0,0.8222961839035453
MixedImprovement,tai_j10_m10_1r.txt,0.4,105781,61293.0,0.7258251350072602
MixedImprovement,tai_j10_m10_1r.txt,0.6,100573,61293.0,0.6408562152284927
MixedImprovement,tai_j10_m10_1r.txt,0.8,100573,61293.0,0.6408562152284927
