algoritmo,instancia,R,Z,LB,GAP
FirstImprovement,ft06.txt,,314,259.0,0.21235521235521235
MixedImprovement,ft06.txt,0.1,323,259.0,0.2471042471042471
MixedImprovement,ft06.txt,0.2,323,259.0,0.2471042471042471
MixedImprovement,ft06.txt,0.4,314,259.0,0.21235521235521235
MixedImprovement,ft06.txt,0.6,308,259.0,0.1891891891891892
MixedImprovement,ft06.txt,0.8,314,259.0,0.21235521235521235
FirstImprovement,ft06r.txt,,337,283.0,0.19081272084805653
MixedImprovement,ft06r.txt,0.1,388,283.0,0.3710247349823322
MixedImprovement,ft06r.txt,0.2,337,283.0,0.19081272084805653
MixedImprovement,ft06r.txt,0.4,324,283.0,0.14487632508833923
MixedImprovement,ft06r.txt,0.6,337,283.0,0.19081272084805653
MixedImprovement,ft06r.txt,0.8,337,283.0,0.19081272084805653
FirstImprovement,ft10.txt,,10374,7377.0,0.4062627084180561
MixedImprovement,ft10.txt,0.1,10503,7377.0,0.42374949166327774
MixedImprovement,ft10.txt,0.2,11128,7377.0,0.5084722787040803
MixedImprovement,ft10.txt,0.4,11128,7377.0,0.5084722787040803
MixedImprovement,ft10.txt,0.6,10374,7377.0,0.4062627084180561
MixedImprovement,ft10.txt,0.8,10374,7377.0,0.4062627084180561
FirstImprovement,ft10r.txt,,11002,6318.0,0.7413738524849636
MixedImprovement,ft10r.txt,0.1,11574,6318.0,0.8319088319088319
MixedImprovement,ft10r.txt,0.2,12060,6318.0,0.9088319088319088
MixedImprovement,ft10r.txt,0.4,11721,6318.0,0.8551756885090218
MixedImprovement,ft10r.txt,0.6,11580,6318.0,0.8328584995251662
MixedImprovement,ft10r.txt,0.8,11373,6318.0,0.8000949667616334
FirstImprovement,ft20.txt,,18591,14139.0,0.31487375344791
MixedImprovement,ft20.txt,0.1,19299,14139.0,0.36494801612561
MixedImprovement,ft20.txt,0.2,18105,14139.0,0.280500742626777
MixedImprovement,ft20.txt,0.4,18994,14139.0,0.34337647641275904
MixedImprovement,ft20.txt,0.6,18057,14139.0,0.27710587736049225
MixedImprovement,ft20.txt,0.8,17868,14139.0,0.26373859537449607
FirstImprovement,ft20r.txt,,19928,13257.0,0.5032058535113525
MixedImprovement,ft20r.txt,0.1,20466,13257.0,0.5437881873727087
MixedImprovement,ft20r.txt,0.2,19194,13257.0,0.4478388775741118
MixedImprovement,ft20r.txt,0.4,18999,13257.0,0.4331296673455533
MixedImprovement,ft20r.txt,0.6,19135,13257.0,0.4433883985818813
MixedImprovement,ft20r.txt,0.8,18999,13257.0,0.4331296673455533
FirstImprovement,tai_j10_m10_1.txt,,112263,64463.0,0.7415106340071048
MixedImprovement,tai_j10_m10_1.txt,0.1,108215,64463.0,0.6787149217380513
MixedImprovement,tai_j10_m10_1.txt,0.2,119500,64463.0,0.8537765850177621
MixedImprovement,tai_j10_m10_1.txt,0.4,97668,64463.0,0.5151016862386175
MixedImprovement,tai_j10_m10_1.txt,0.6,97668,64463.0,0.5151016862386175
MixedImprovement,tai_j10_m10_1.txt,0.8,110328,64463.0,0.7114934148271101
FirstImprovement,tai_j10_m10_1r.txt,,110578,61293.0,0.8040885582366665
MixedImprovement,tai_j10_m10_1r.txt,0.1,107714,61293.0,0.7573621783890493
MixedImprovement,tai_j10_m10_1r.txt,0.2,111883,61293.0,0.8253797334116457
MixedImprovement,tai_j10_m10_1r.txt,0.4,112938,61293.0,0.8425921393960158
MixedImprovement,tai_j10_m10_1r.txt,0.6,111883,61293.0,0.8253797334116457
MixedImprovement,tai_j10_m10_1r.txt,0.8,102415,61293.0,0.6709085866249
