algoritmo,instancia,R,Z,LB,GAP
FirstImprovement,ft06.txt,,308,259.0,0.1891891891891892
MixedImprovement,ft06.txt,0.1,375,259.0,0.44787644787644787
MixedImprovement,ft06.txt,0.2,364,259.0,0.40540540540540543
MixedImprovement,ft06.txt,0.4,309,259.0,0.19305019305019305
MixedImprovement,ft06.txt,0.6,308,259.0,0.1891891891891892
MixedImprovement,ft06.txt,0.8,308,259.0,0.1891891891891892
FirstImprovement,ft06r.txt,,321,283.0,0.13427561837455831
MixedImprovement,ft06r.txt,0.1,388,283.0,0.3710247349823322
MixedImprovement,ft06r.txt,0.2,321,283.0,0.13427561837455831
MixedImprovement,ft06r.txt,0.4,337,283.0,0.19081272084805653
MixedImprovement,ft06r.txt,0.6,337,283.0,0.19081272084805653
MixedImprovement,ft06r.txt,0.8,337,283.0,0.19081272084805653
FirstImprovement,ft10.txt,,10126,7377.0,0.3726447065202657
MixedImprovement,ft10.txt,0.1,10724,7377.0,0.45370746916090554
MixedImprovement,ft10.txt,0.2,10073,7377.0,0.36546021417920566
MixedImprovement,ft10.txt,0.4,10431,7377.0,0.4139894265961773
MixedImprovement,ft10.txt,0.6,10431,7377.0,0.4139894265961773
MixedImprovement,ft10.txt,0.8,10431,7377.0,0.4139894265961773
FirstImprovement,ft10r.txt,,10367,6318.0,0.6408673630895854
MixedImprovement,ft10r.txt,0.1,11614,6318.0,0.8382399493510605
MixedImprovement,ft10r.txt,0.2,12132,6318.0,0.9202279202279202
MixedImprovement,ft10r.txt,0.4,11195,6318.0,0.7719214941437164
MixedImprovement,ft10r.txt,0.6,10724,6318.0,0.6973725862614751
MixedImprovement,ft10r.txt,0.8,10724,6318.0,0.6973725862614751
FirstImprovement,ft20.txt,,17991,14139.0,0.27243793761935076
MixedImprovement,ft20.txt,0.1,19818,14139.0,0.4016549968173138
MixedImprovement,ft20.txt,0.2,18321,14139.0,0.2957776363250583
MixedImprovement,ft20.txt,0.4,18481,14139.0,0.30709385387934085
MixedImprovement,ft20.txt,0.6,17950,14139.0,0.26953815687106586
MixedImprovement,ft20.txt,0.8,17531,14139.0,0.2399038121507886
FirstImprovement,ft20r.txt,,18433,13257.0,0.3904352417590707
MixedImprovement,ft20r.txt,0.1,19836,13257.0,0.49626612355736593
MixedImprovement,ft20r.txt,0.2,19131,13257.0,0.4430866711925775
MixedImprovement,ft20r.txt,0.4,19333,13257.0,0.4583239043524176
MixedImprovement,ft20r.txt,0.6,19092,13257.0,0.4401448291468658
MixedImprovement,ft20r.txt,0.8,19092,13257.0,0.4401448291468658
FirstImprovement,tai_j10_m10_1.txt,,111153,64463.0,0.7242914540123792
MixedImprovement,tai_j10_m10_1.txt,0.1,110415,64463.0,0.7128430262321022
MixedImprovement,tai_j10_m10_1.txt,0.2,112384,64463.0,0.7433876797542777
MixedImprovement,tai_j10_m10_1.txt,0.4,102373,64463.0,0.5880892915315763
MixedImprovement,tai_j10_m10_1.txt,0.6,100265,64463.0,0.5553883623163676
MixedImprovement,tai_j10_m10_1.txt,0.8,100573,64463.0,0.5601662969455347
FirstImprovement,tai_j10_m10_1r.txt,,100573,61293.0,0.6408562152284927
MixedImprovement,tai_j10_m10_1r.txt,0.1,114667,61293.0,0.870800907118268
MixedImprovement,tai_j10_m10_1r.txt,0.2,105781,61293.0,0.7258251350072602
MixedImprovement,tai_j10_m10_1r.txt,0.4,110936,61293.0,0.8099293557176187
MixedImprovement,tai_j10_m10_1r.txt,0.6,103083,61293.0,0.6818070579022074
MixedImprovement,tai_j10_m10_1r.txt,0.8,100573,61293.0,0.6408562152284927
