algoritmo,instancia,R,Z,LB,GAP
FirstImprovement,ft06.txt,,320,259.0,0.23552123552123552
MixedImprovement,ft06.txt,0.1,356,259.0,0.3745173745173745
MixedImprovement,ft06.txt,0.2,354,259.0,0.3667953667953668
MixedImprovement,ft06.txt,0.4,314,259.0,0.21235521235521235
MixedImprovement,ft06.txt,0.6,308,259.0,0.1891891891891892
MixedImprovement,ft06.txt,0.8,314,259.0,0.21235521235521235
FirstImprovement,ft06r.txt,,349,283.0,0.2332155477031802
MixedImprovement,ft06r.txt,0.1,388,283.0,0.3710247349823322
MixedImprovement,ft06r.txt,0.2,321,283.0,0.13427561837455831
MixedImprovement,ft06r.txt,0.4,324,283.0,0.14487632508833923
MixedImprovement,ft06r.txt,0.6,337,283.0,0.19081272084805653
MixedImprovement,ft06r.txt,0.8,337,283.0,0.19081272084805653
FirstImprovement,ft10.txt,,10031,7377.0,0.3597668428900637
MixedImprovement,ft10.txt,0.1,10637,7377.0,0.4419140572048258
MixedImprovement,ft10.txt,0.2,10909,7377.0,0.47878541412498304
MixedImprovement,ft10.txt,0.4,10126,7377.0,0.3726447065202657
MixedImprovement,ft10.txt,0.6,10531,7377.0,0.4275450725227057
MixedImprovement,ft10.txt,0.8,10431,7377.0,0.4139894265961773
FirstImprovement,ft10r.txt,,10378,6318.0,0.6426084203861981
MixedImprovement,ft10r.txt,0.1,12629,6318.0,0.99889205444761
MixedImprovement,ft10r.txt,0.2,11260,6318.0,0.7822095599873378
MixedImprovement,ft10r.txt,0.4,11106,6318.0,0.7578347578347578
MixedImprovement,ft10r.txt,0.6,10203,6318.0,0.6149097815764483
MixedImprovement,ft10r.txt,0.8,10378,6318.0,0.6426084203861981
FirstImprovement,ft20.txt,,18296,14139.0,0.29400947733220173
MixedImprovement,ft20.txt,0.1,19731,14139.0,0.39550180352217273
MixedImprovement,ft20.txt,0.2,19736,14139.0,0.395855435320744
MixedImprovement,ft20.txt,0.4,18926,14139.0,0.338567083952189
MixedImprovement,ft20.txt,0.6,18001,14139.0,0.2731452012164934
MixedImprovement,ft20.txt,0.8,18296,14139.0,0.29400947733220173
FirstImprovement,ft20r.txt,,17814,13257.0,0.3437429282643132
MixedImprovement,ft20r.txt,0.1,19132,13257.0,0.44316210303990344
MixedImprovement,ft20r.txt,0.2,19003,13257.0,0.43343139473485703
MixedImprovement,ft20r.txt,0.4,19302,13257.0,0.45598551708531343
MixedImprovement,ft20r.txt,0.6,17989,13257.0,0.35694350154635285
MixedImprovement,ft20r.txt,0.8,18325,13257.0,0.38228860224786904
FirstImprovement,tai_j10_m10_1.txt,,108576,64463.0,0.6843150334300296
MixedImprovement,tai_j10_m10_1.txt,0.1,119500,64463.0,0.8537765850177621
MixedImprovement,tai_j10_m10_1.txt,0.2,119700,64463.0,0.8568791399717668
MixedImprovement,tai_j10_m10_1.txt,0.4,108211,64463.0,0.6786528706389712
MixedImprovement,tai_j10_m10_1.txt,0.6,107608,64463.0,0.6692986674526472
MixedImprovement,tai_j10_m10_1.txt,0.8,107608,64463.0,0.6692986674526472
FirstImprovement,tai_j10_m10_1r.txt,,98735,61293.0,0.610869104139135
MixedImprovement,tai_j10_m10_1r.txt,0.1,108042,61293.0,0.7627135235671284
MixedImprovement,tai_j10_m10_1r.txt,0.2,111778,61293.0,0.8236666503515899
MixedImprovement,tai_j10_m10_1r.txt,0.4,102010,61293.0,0.6643009805361134
MixedImprovement,tai_j10_m10_1r.txt,0.6,100573,61293.0,0.6408562152284927
MixedImprovement,tai_j10_m10_1r.txt,0.8,110936,61293.0,0.8099293557176187
